-214 -122 15
-214 -122 25
-214 -122 35
-214 -122 45
-214 -122 55
-214 -122 65
-214 -122 75
-214 -122 85
-214 -122 95
206 -6 5
206 -6 15
206 -6 25
206 -6 35
206 -6 45
206 -6 55
206 -6 65
206 -6 75
206 -6 85
206 -6 95
-3 62 5
-3 62 15
-3 62 25
-3 62 35
-3 62 45
-3 62 55
-3 62 65
-3 62 75
-3 62 85
-3 62 95
-120 -125 5
-120 -125 15
-120 -125 25
-120 -125 35
-120 -125 45
-120 -125 55
-120 -125 65
-120 -125 75
-120 -125 85
-120 -125 95
76 -221 5
76 -221 15
76 -221 25
76 -221 35
76 -221 45
76 -221 55
76 -221 65
76 -221 75
76 -221 85
76 -221 95
117 212 5
117 212 15
117 212 25
117 212 35
117 212 45
117 212 55
117 212 65
117 212 75
117 212 85
117 212 95
43 -121 5
43 -121 15
43 -121 25
43 -121 35
43 -121 45
43 -121 55
43 -121 65
43 -121 75
43 -121 85
43 -121 95
199 -115 5
199 -115 15
199 -115 25
199 -115 35
199 -115 45
199 -115 55
199 -115 65
199 -115 75
199 -115 85
199 -115 95
-159 -155 5
-159 -155 15
-159 -155 25
-159 -155 35
-159 -155 45
-159 -155 55
-159 -155 65
-159 -155 75
-159 -155 85
-159 -155 95
-112 -41 5
-112 -41 15
-112 -41 25
-112 -41 35
-112 -41 45
-112 -41 55
-112 -41 65
-112 -41 75
-112 -41 85
-112 -41 95
-130 146 5
-130 146 15
-130 146 25
-130 146 35
-130 146 45
-130 146 55
-130 146 65
-130 146 75
-130 146 85
-130 146 95
192 135 5
192 135 15
192 135 25
192 135 35
192 135 45
192 135 55
192 135 65
192 135 75
192 135 85
192 135 95
-26 -190 5
-26 -190 15
-26 -190 25
-26 -190 35
-26 -190 45
-26 -190 55
-26 -190 65
-26 -190 75
-26 -190 85
-26 -190 95
136 29 5
136 29 15
136 29 25
136 29 35
136 29 45
136 29 55
136 29 65
136 29 75
136 29 85
136 29 95
-13 184 5
-13 184 15
-13 184 25
-13 184 35
-13 184 45
-13 184 55
-13 184 65
-13 184 75
-13 184 85
-13 184 95
185 -21 5
185 -21 15
185 -21 25
185 -21 35
185 -21 45
185 -21 55
185 -21 65
185 -21 75
185 -21 85
185 -21 95
-15 83 5
-15 83 15
-15 83 25
-15 83 35
-15 83 45
-15 83 55
-15 83 65
-15 83 75
-15 83 85
-15 83 95
-51 109 5
-51 109 15
-51 109 25
-51 109 35
-51 109 45
-51 109 55
-51 109 65
-51 109 75
-51 109 85
-51 109 95
-121 -37 5
-121 -37 15
-121 -37 25
-121 -37 35
-121 -37 45
-121 -37 55
-121 -37 65
-121 -37 75
-121 -37 85
-121 -37 95
-37 34 5
-37 34 15
-37 34 25
-37 34 35
-37 34 45
-37 34 55
-37 34 65
-37 34 75
-37 34 85
-37 34 95
162 84 5
162 84 15
162 84 25
162 84 35
162 84 45
162 84 55
162 84 65
162 84 75
162 84 85
162 84 95
-185 -24 5
-185 -24 15
-185 -24 25
-185 -24 35
-185 -24 45
-185 -24 55
-185 -24 65
-185 -24 75
-185 -24 85
-185 -24 95
229 126 5
229 126 15
229 126 25
229 126 35
229 126 45
229 126 55
229 126 65
229 126 75
229 126 85
229 126 95
88 106 5
88 106 15
88 106 25
88 106 35
88 106 45
88 106 55
88 106 65
88 106 75
88 106 85
88 106 95
-113 38 5
-113 38 15
-113 38 25
-113 38 35
-113 38 45
-113 38 55
-113 38 65
-113 38 75
-113 38 85
-113 38 95
-166 -109 5
-166 -109 15
-166 -109 25
-166 -109 35
-166 -109 45
-166 -109 55
-166 -109 65
-166 -109 75
-166 -109 85
-166 -109 95
53 -223 5
53 -223 15
53 -223 25
53 -223 35
53 -223 45
53 -223 55
53 -223 65
53 -223 75
53 -223 85
53 -223 95
-183 -85 5
-183 -85 15
-183 -85 25
-183 -85 35
-183 -85 45
-183 -85 55
-183 -85 65
-183 -85 75
-183 -85 85
-183 -85 95
-205 33 5
-205 33 15
-205 33 25
-205 33 35
-205 33 45
-205 33 55
-205 33 65
-205 33 75
-205 33 85
-205 33 95
-157 207 5
-157 207 15
-157 207 25
-157 207 35
-157 207 45
-157 207 55
-157 207 65
-157 207 75
-157 207 85
-157 207 95
-36 -73 5
-36 -73 15
-36 -73 25
-36 -73 35
-36 -73 45
-36 -73 55
-36 -73 65
-36 -73 75
-36 -73 85
-36 -73 95
-167 -200 5
-167 -200 15
-167 -200 25
-167 -200 35
-167 -200 45
-167 -200 55
-167 -200 65
-167 -200 75
-167 -200 85
-167 -200 95
-95 -113 5
-95 -113 15
-95 -113 25
-95 -113 35
-95 -113 45
-95 -113 55
-95 -113 65
-95 -113 75
-95 -113 85
-95 -113 95
-133 211 5
-133 211 15
-133 211 25
-133 211 35
-133 211 45
-133 211 55
-133 211 65
-133 211 75
-133 211 85
-133 211 95
42 53 5
42 53 15
42 53 25
42 53 35
42 53 45
42 53 55
42 53 65
42 53 75
42 53 85
42 53 95
146 -171 5
146 -171 15
146 -171 25
146 -171 35
146 -171 45
146 -171 55
146 -171 65
146 -171 75
146 -171 85
146 -171 95
-4 21 5
-4 21 15
-4 21 25
-4 21 35
-4 21 45
-4 21 55
-4 21 65
-4 21 75
-4 21 85
-4 21 95
140 73 5
140 73 15
140 73 25
140 73 35
140 73 45
140 73 55
140 73 65
140 73 75
140 73 85
140 73 95
-60 -189 5
