# d_x d_y d_z
4.1124e-01 6.1076e-02 2.0900e-01
3.2047e-01 5.9341e-01 2.1029e-01
3.0210e-01 7.1276e-01 3.3241e-01
9.7878e-01 4.3610e-01 1.8401e-01
3.5444e-01 2.2806e-01 4.6050e-01
3.4734e-01 9.0081e-01 2.5817e-01
2.6886e-02 1.1509e-01 3.9533e-01
1.4721e-01 3.1273e-01 4.3657e-01
1.5794e-01 6.0783e-01 3.1846e-01
5.2081e-01 5.9572e-02 3.7139e-01
6.5366e-01 1.1404e-01 4.5515e-01
5.9765e-01 1.5061e-01 3.8025e-01
7.2871e-01 3.9324e-01 3.3560e-01
4.0453e-01 4.3811e-01 3.5025e-01
6.4535e-01 3.6245e-01 2.5195e-01
8.0008e-01 4.2614e-03 4.3308e-01
4.7352e-01 2.0970e-01 3.0205e-01
6.8581e-02 2.4047e-01 3.4186e-01
5.5607e-01 6.5203e-01 3.8559e-01
2.5598e-01 1.9340e-01 5.0529e-01
5.7724e-01 1.4505e-01 2.9097e-01
1.1477e-01 7.0737e-01 3.4539e-01
6.4715e-01 3.0376e-01 2.6332e-01
4.3073e-01 3.9319e-02 5.0027e-01
8.0403e-01 2.2797e-01 4.0569e-01
1.5390e-01 3.5784e-01 1.8934e-01
1.9392e-02 4.7265e-01 2.4704e-01
2.7282e-01 1.4641e-01 3.4207e-01
3.2703e-01 6.4348e-02 2.4107e-01
3.6197e-01 5.0660e-01 2.4927e-01
4.2592e-02 3.6398e-01 1.6664e-01
6.3074e-01 1.8568e-01 3.1839e-01
1.2267e-01 7.7009e-01 1.7155e-01
1.5137e-01 8.4268e-01 4.5478e-01
1.8747e-01 2.7523e-01 3.0745e-01
3.8494e-02 1.0392e-01 3.9790e-01
8.9062e-01 1.9567e-02 3.0996e-01
1.1409e-01 1.6554e-01 1.6811e-01
1.3157e-01 6.4366e-01 3.8329e-01
3.0453e-01 5.8694e-01 5.1946e-01
4.5081e-02 7.8624e-01 3.4169e-01
3.8798e-01 5.9256e-01 2.7067e-01
3.7716e-01 3.2985e-01 2.0390e-01
nan nan nan
1.0952e-01 1.5078e-01 3.2819e-01
8.2013e-01 2.6747e-01 2.8226e-01
5.7437e-01 2.8865e-01 1.5459e-01
4.6992e-01 4.4509e-01 3.7682e-01
4.9560e-01 9.4512e-02 4.4879e-01
5.0118e-01 4.6080e-01 2.5118e-01
1.4426e-01 2.0584e-01 3.5851e-01
8.5529e-01 1.0250e-01 5.0385e-01
4.6303e-01 7.0606e-01 4.8941e-01
4.6167e-01 4.4642e-01 5.4696e-01
3.8803e-01 1.3047e-01 4.9950e-01
2.8035e-01 6.2193e-01 4.3537e-01
9.5404e-01 1.2779e-01 2.4733e-01
4.6729e-01 1.1167e-01 2.3728e-01
6.1490e-01 2.7726e-01 2.7380e-01
7.0683e-01 8.0825e-02 4.4576e-01
9.7587e-02 5.1503e-01 3.9024e-01
7.5474e-02 5.3654e-01 4.2263e-01
1.2336e-01 4.6922e-01 3.0246e-01
1.1544e-02 6.7254e-01 4.7287e-01
2.0871e-01 6.1949e-01 1.7626e-01
7.3876e-01 2.5317e-01 2.9224e-01
1.4085e-01 4.0916e-01 4.1454e-01
2.5788e-01 6.1887e-01 2.4833e-01
3.8832e-01 4.0360e-01 4.6803e-01
3.0028e-01 6.9988e-02 3.0465e-01
2.3437e-02 8.3889e-01 2.8095e-01
5.9361e-01 2.3016e-01 2.1094e-01
2.2386e-01 5.3348e-01 2.6264e-01
1.2753e-01 4.5481e-02 5.1181e-01
7.6051e-01 3.3617e-01 3.4005e-01
9.0660e-01 2.5726e-01 2.8525e-01
8.4847e-01 3.3861e-02 3.2440e-01
3.1198e-01 1.6023e-02 3.7564e-01
1.7648e-01 1.0786e-01 1.7195e-01
4.0161e-01 5.3057e-01 3.7572e-01
4.2267e-01 2.7181e-02 3.0774e-01
nan nan nan
3.0075e-01 4.5451e-01 8.8613e-02
9.3158e-01 3.1980e-01 2.4254e-01
2.3096e-01 2.3664e-01 5.5352e-01
1.9109e-01 7.0348e-01 3.5240e-01
8.6944e-03 1.8655e-01 4.0868e-01
2.6244e-01 1.5618e-01 3.3140e-01
7.8209e-02 4.7107e-01 3.4252e-01
4.6977e-01 1.3013e-01 4.4301e-01
6.8496e-01 1.6028e-01 3.4510e-01
6.7130e-01 1.6202e-01 1.6726e-01
7.2029e-01 5.4581e-01 3.4757e-01
3.4414e-01 4.5133e-01 3.5560e-01
6.4914e-01 3.0478e-01 3.5653e-01
7.8021e-01 5.4878e-02 4.3476e-01
3.5412e-01 1.9569e-01 3.9391e-01
7.9432e-02 2.9645e-01 5.4039e-01
4.7981e-01 5.8158e-01 5.1457e-01
3.1330e-01 2.7254e-01 1.4381e-01
5.0521e-01 3.7118e-01 1.3717e-01
6.2525e-02 4.4348e-01 3.1912e-01
6.9028e-01 3.1055e-01 2.4250e-01
5.2273e-01 8.8318e-02 5.2496e-01
8.7960e-01 3.6827e-01 2.8917e-01
7.0876e-02 3.9742e-01 2.6752e-01
6.5972e-03 4.2409e-01 4.0837e-01
2.7006e-01 1.6066e-01 2.1011e-01
4.3060e-01 1.7080e-01 3.8568e-01
4.3764e-01 4.5208e-01 2.4426e-01
2.0660e-02 2.5613e-01 5.9217e-01
6.4507e-01 2.5465e-01 5.4915e-01
1.2869e-01 8.8289e-01 2.1874e-01
2.7585e-01 8.1992e-01 2.5224e-01
1.3985e-01 1.3688e-01 1.6931e-01
5.8406e-02 1.3271e-01 4.0438e-01
8.9398e-01 1.9588e-02 2.6478e-01
2.5417e-01 5.6915e-03 2.1375e-01
1.7526e-01 6.3333e-01 1.4316e-01
2.8553e-01 4.7537e-01 3.9363e-01
5.3138e-03 7.9950e-01 3.7118e-01
3.5984e-01 5.2818e-01 4.2402e-01
2.1414e-01 4.1264e-01 2.9652e-01
1.7123e-01 5.0837e-01 1.8950e-01
5.7815e-02 1.9232e-01 2.0428e-01
8.6985e-01 2.6993e-01 3.7409e-01
5.7500e-01 4.7501e-01 3.6755e-01
5.2104e-01 3.7246e-01 2.4806e-01
4.7945e-01 2.6300e-01 3.9551e-01
4.7424e-01 3.4964e-01 3.9551e-01
1.3166e-01 1.6742e-01 4.2865e-01
7.6505e-01 2.2199e-02 2.5217e-01
4.3663e-01 6.0310e-01 5.6333e-01
5.4050e-01 4.3749e-01 3.4399e-01
5.0489e-01 2.6410e-03 2.8104e-01
2.5585e-02 9.0300e-01 2.8539e-01
9.3282e-01 5.9244e-02 4.0023e-01
4.9117e-01 1.8067e-01 2.7178e-01
5.4451e-01 3.0308e-01 2.3041e-01
nan nan nan
2.7537e-02 7.2137e-01 2.8587e-01
1.6659e-01 5.4744e-01 3.5528e-01
1.5382e-01 3.8436e-01 2.3724e-01
1.2284e-01 7.8407e-01 3.3505e-01
3.6595e-01 6.9768e-01 3.0634e-01
5.6120e-01 6.0035e-01 3.5476e-01
9.7497e-02 4.1990e-01 4.0590e-01
2.9875e-01 6.6943e-01 5.0512e-01
2.7259e-01 2.6261e-01 2.5921e-01
2.1687e-01 1.0239e-01 3.2097e-01
6.1017e-03 7.4342e-01 5.1406e-01
5.0974e-01 1.9545e-01 2.2166e-01
1.7723e-01 6.0513e-01 3.2938e-01
1.7472e-01 1.5660e-01 5.5528e-01
7.1448e-01 3.9701e-01 4.7897e-01
8.9364e-01 3.6292e-01 3.2581e-01
9.6921e-01 7.3561e-02 3.4130e-01
3.1041e-01 6.1217e-02 2.4540e-01
6.5425e-02 7.3223e-02 2.4282e-01
4.2787e-01 5.9904e-01 3.6204e-01
3.8735e-01 2.2411e-02 3.7071e-01
5.6262e-02 6.6608e-01 2.0128e-01
3.8785e-01 4.5408e-01 3.3679e-01
8.4786e-01 3.0805e-01 2.7264e-01
2.0747e-01 1.2082e-01 3.4799e-01
1.9960e-01 6.8185e-01 3.4966e-01
1.8477e-02 1.0005e-01 2.9877e-01
2.9405e-01 1.2384e-01 4.5195e-01
7.1907e-02 4.4273e-01 4.5464e-01
5.2260e-01 8.9769e-02 4.3119e-01
6.2728e-01 5.0756e-02 4.8400e-01
5.8539e-01 2.9633e-02 2.8138e-01
7.3854e-01 5.4410e-01 3.2438e-01
3.5280e-01 3.5669e-01 5.3183e-01
5.2377e-01 2.7434e-01 5.3208e-01
7.1195e-01 1.0589e-01 2.5962e-01
4.6923e-01 1.7864e-01 3.1312e-01
5.0768e-02 3.8763e-01 4.2097e-01
3.0251e-01 8.2228e-01 2.7872e-01
2.5465e-01 1.3752e-01 4.8911e-01
4.7531e-01 7.0038e-01 1.8488e-01
nan nan nan
8.7466e-01 2.5188e-01 3.0396e-01
7.4546e-01 2.4830e-01 2.7581e-01
7.6325e-01 7.0442e-01 3.6730e-01
8.4978e-02 1.4532e-01 4.3260e-01
1.2262e-01 5.4548e-01 6.0365e-01
4.5251e-01 1.9732e-01 3.6542e-01
3.8843e-01 1.3099e-01 3.1378e-01
6.8893e-01 4.6610e-01 4.3700e-01
4.3285e-02 4.4029e-01 4.6384e-01
6.0605e-01 2.1902e-01 5.0846e-01
1.4481e-01 7.6180e-01 4.3604e-01
1.7390e-01 8.1341e-01 2.0072e-01
1.3960e-01 1.6205e-01 4.1210e-01
4.5872e-02 8.1220e-02 2.0825e-01
8.9854e-01 8.4351e-03 4.2875e-01
1.9164e-01 2.5486e-01 4.3030e-01
2.6369e-01 4.7477e-01 4.5603e-01
4.2529e-01 3.8114e-01 3.7960e-01
9.6007e-02 8.1870e-01 2.0913e-01
3.3619e-01 5.4664e-01 4.3201e-01
2.9101e-01 5.2327e-01 4.6960e-01
2.9292e-01 7.6188e-01 3.8872e-01
8.2992e-02 1.9581e-01 2.3758e-01
7.4041e-01 9.1420e-02 3.5458e-01
4.8813e-01 4.6483e-01 3.3231e-01
6.3472e-01 5.4081e-01 4.7508e-01
5.3397e-01 1.8803e-01 5.1940e-01
4.1039e-01 2.8063e-01 2.0780e-01
1.5878e-01 1.5532e-01 5.3769e-01
5.4022e-01 3.4872e-02 3.6389e-01
5.9118e-01 5.8773e-01 3.3181e-01
5.7653e-01 6.1951e-01 6.0871e-01
3.3900e-01 1.0620e-01 3.6901e-01
nan nan nan
9.2161e-01 7.9615e-02 4.9451e-01
3.7734e-01 1.9045e-01 4.8373e-01
4.9315e-01 3.9087e-01 1.9474e-01
8.1956e-01 1.4099e-01 2.1183e-01
2.7282e-02 6.6124e-01 2.4619e-01
1.8900e-01 6.4946e-01 4.1146e-01
1.3761e-01 4.0490e-01 4.4416e-01
5.1951e-02 5.6692e-01 3.7708e-01
4.0541e-01 6.9242e-01 1.4864e-01
5.8790e-01 6.6123e-01 2.3874e-01
1.8357e-01 5.3614e-01 4.5250e-01
4.0212e-01 6.6925e-01 3.7749e-01
2.7114e-01 4.1881e-01 3.2280e-01
1.2135e-01 1.8821e-01 3.1194e-01
nan nan nan
4.7082e-01 1.5092e-01 5.2666e-01
2.2061e-01 5.4900e-01 4.0852e-01
1.9734e-01 1.3920e-02 3.2384e-01
6.2531e-01 4.3510e-01 2.7667e-01
7.6720e-01 4.3856e-01 5.3516e-01
7.7834e-01 1.0306e-01 2.8329e-01
2.8446e-01 5.3176e-02 4.5594e-01
8.6929e-03 5.0184e-02 4.8150e-01
4.9222e-01 6.5741e-01 4.4229e-01
4.0017e-01 1.1313e-02 4.5761e-01
4.4697e-02 6.6751e-01 4.4027e-01
3.8082e-01 4.7463e-01 3.8707e-01
5.6220e-01 3.0541e-01 1.1038e-01
2.4248e-01 3.8919e-01 2.6624e-01
2.2348e-01 7.4438e-01 2.1045e-01
7.5265e-02 2.1388e-01 4.5990e-01
3.5278e-01 2.6979e-01 3.9495e-01
1.6488e-01 4.8771e-01 4.2276e-01
4.6090e-01 6.6537e-02 3.1966e-01
6.7794e-01 1.3485e-03 2.5628e-01
5.9468e-01 1.5873e-01 4.1301e-01
8.7044e-01 4.8046e-01 3.7605e-01
4.7592e-01 2.2201e-01 2.5089e-01
6.4070e-01 5.0193e-01 3.4583e-01
8.1361e-01 4.3459e-02 3.6072e-01
3.8552e-01 1.2536e-01 5.5012e-01
7.3114e-02 4.5362e-01 1.4680e-01
nan nan nan
2.5113e-01 2.4150e-01 3.4559e-01
3.6568e-01 4.1987e-01 4.5563e-01
1.7312e-01 7.7806e-01 2.5849e-01
8.8118e-01 1.7667e-01 2.7530e-01
7.7103e-01 3.5818e-01 5.0585e-01
3.2852e-01 3.8203e-01 3.8468e-01
1.0034e-01 5.2167e-02 4.6710e-01
7.0301e-02 5.8142e-01 4.0130e-01
3.6165e-01 2.7267e-01 2.2865e-01
4.5444e-01 7.9630e-02 1.8445e-01
7.5287e-01 2.7945e-01 6.0081e-01
8.9272e-02 4.8377e-01 2.6223e-01
6.3262e-01 1.0945e-01 4.5138e-01
3.1784e-01 1.0049e+00 2.5213e-01
2.2567e-01 6.3500e-01 2.4301e-01
9.6471e-02 2.7378e-01 4.5976e-01
9.6263e-02 1.4298e-01 5.0334e-01
9.3913e-01 4.1499e-03 4.3922e-01
1.6858e-01 1.9014e-01 5.5386e-01
1.4035e-01 6.4525e-01 3.2708e-01
5.3839e-01 5.1377e-01 3.5858e-01
1.2868e-01 7.0141e-01 4.9867e-01
4.2184e-01 3.2538e-01 1.3704e-01
2.1270e-01 3.1138e-01 3.3965e-01
4.3355e-01 8.1125e-01 5.0516e-01
7.3996e-02 7.0040e-02 1.7317e-01
7.5347e-01 2.8722e-01 3.8508e-01
1.8873e-01 6.3253e-01 1.8623e-01
6.5035e-01 5.6710e-01 3.3237e-01
5.8565e-01 1.0674e-01 4.5692e-01
4.5684e-01 4.8348e-01 2.7066e-01
1.6107e-01 1.4165e-01 3.7358e-01
5.7829e-01 1.2313e-01 2.5211e-01
6.0213e-01 5.1910e-01 2.2266e-01
5.1730e-01 4.4759e-01 4.2915e-01
4.8086e-01 8.3512e-02 3.1010e-01
4.0956e-01 5.7685e-01 2.8890e-01
8.9203e-01 9.2965e-02 4.6753e-01
4.1337e-01 1.5868e-01 4.4647e-01
5.3577e-01 4.2767e-01 2.6816e-01
nan nan nan
2.0019e-02 6.7770e-01 2.5112e-01
2.9682e-01 7.2607e-01 3.0237e-01
2.7767e-01 4.5114e-01 4.0054e-01
4.8402e-02 5.7537e-01 4.4623e-01
3.7090e-01 4.2083e-01 1.4756e-01
5.4902e-01 7.2865e-01 3.8318e-01
1.3298e-01 4.2948e-01 1.1480e-01
4.1758e-01 4.8531e-01 3.8168e-01
3.5890e-01 2.0184e-01 5.4538e-01
3.8454e-01 2.2480e-01 1.7369e-01
9.9183e-02 4.3742e-01 1.4006e-01
3.8651e-01 3.4648e-01 4.6223e-01
1.7020e-01 6.3059e-01 4.4078e-01
2.5844e-01 6.5464e-02 1.8617e-01
6.4299e-01 3.1410e-01 2.1748e-01
6.4126e-01 5.9818e-01 3.1784e-01
9.6653e-01 2.4264e-01 2.9692e-01
3.7173e-01 1.2579e-01 3.9433e-01
3.6401e-02 6.4377e-02 2.3893e-01
3.4768e-01 6.7438e-01 2.6848e-01
3.4928e-01 1.1111e-01 2.5640e-01
5.3532e-02 6.2439e-01 3.3168e-01
4.1532e-01 5.6881e-01 4.5809e-01
7.5531e-01 4.4558e-01 2.7489e-01
2.5528e-01 2.4825e-01 2.1117e-01
2.2440e-01 7.9648e-01 2.9074e-01
4.8148e-02 3.1892e-01 3.7285e-01
2.6694e-01 9.8078e-02 5.6594e-01
2.2659e-01 4.7657e-01 3.5391e-01
4.9014e-01 1.9659e-01 3.9790e-01
6.8560e-01 3.2528e-02 2.9250e-01
6.9944e-01 3.3696e-01 5.5268e-01
8.9805e-01 3.0750e-01 3.3033e-01
4.9094e-01 1.8661e-01 1.7714e-01
7.1842e-01 5.2567e-01 2.0461e-01
7.9570e-01 1.9227e-01 4.3823e-01
4.0544e-01 1.6704e-01 5.6164e-01
1.8727e-02 3.8684e-01 4.6461e-01
6.1113e-01 5.2093e-01 5.2283e-01
1.8727e-01 1.9978e-01 5.2067e-01
3.8993e-01 3.1756e-01 2.8442e-01
7.8785e-02 7.8250e-01 4.0687e-01
9.3358e-01 1.3418e-01 4.2492e-01
8.5206e-01 1.7981e-01 3.7619e-01
7.5216e-01 4.8986e-01 2.3489e-01
1.1904e-01 3.5280e-02 2.3613e-01
7.2095e-02 6.7695e-01 4.4742e-01
3.3680e-01 2.9613e-01 3.4494e-01
3.9315e-01 2.9452e-01 3.3742e-01
8.4027e-01 2.7440e-01 2.8098e-01
1.6523e-01 4.3233e-01 3.7562e-01
6.9279e-01 5.0331e-02 6.0629e-01
nan nan nan
2.1253e-01 7.8167e-01 2.8047e-01
8.4922e-03 6.1566e-02 2.7503e-01
1.5796e-01 1.2734e-01 4.2476e-01
8.0679e-01 1.2867e-01 1.5588e-01
1.9504e-01 3.2486e-01 3.2555e-01
4.3968e-02 4.4971e-01 3.2304e-01
6.5777e-01 3.4580e-01 2.6841e-01
8.9184e-02 7.3295e-01 5.5992e-01
3.1859e-01 2.3268e-01 4.2697e-01
2.1570e-01 4.2575e-01 4.0847e-01
3.2203e-01 7.5875e-01 2.8563e-01
7.1791e-02 7.4525e-02 3.4709e-01
6.4969e-01 2.1857e-01 3.3279e-01
2.4839e-01 5.5854e-01 2.0776e-01
7.0667e-01 4.0079e-01 1.0646e-01
4.7083e-01 1.0924e-01 2.1611e-01
