# d_x d_y d_z
nan nan nan
2.0364e-01 7.9967e-02 6.4201e-01
7.7576e-02 9.7636e-02 2.5215e-01
1.7613e-01 8.0694e-01 1.0351e+00
4.7933e-01 1.7857e-02 8.9618e-01
1.4153e-01 3.3340e-02 3.8547e-01
4.1554e-01 1.3767e-02 1.2658e+00
2.4609e-01 8.9011e-01 4.5308e-01
2.0112e-01 1.3738e-01 9.1120e-01
5.5911e-01 1.5285e-01 9.6482e-01
2.9808e-01 1.0300e-01 1.2023e+00
3.3021e-02 3.7740e-01 3.2380e-01
3.2945e-03 3.5451e-02 1.4780e+00
2.9681e-01 9.1610e-02 1.7060e+00
5.9456e-01 4.4905e-01 1.1416e+00
1.1076e-02 6.4703e-01 1.3361e+00
9.4171e-01 5.6830e-01 1.5061e+00
9.9993e-02 3.8193e-01 1.5836e+00
nan nan nan
9.4381e-01 9.9584e-02 1.0151e+00
4.8821e-01 4.8791e-02 4.0097e-01
7.8666e-01 2.7586e-01 7.4067e-01
6.9671e-02 5.2314e-01 6.8418e-01
nan nan nan
6.6365e-01 3.4290e-02 1.0106e+00
2.0655e-01 5.9572e-01 1.0169e+00
9.5265e-01 2.4033e-01 1.2205e+00
3.0539e-01 5.2824e-01 1.4258e+00
1.4232e-01 2.6130e-01 5.8482e-01
1.2891e-01 2.1066e-01 4.3210e-01
4.8712e-01 5.5421e-01 9.1594e-01
1.9128e-02 5.0736e-01 1.0505e+00
3.4670e-01 6.0684e-02 6.8636e-01
2.0170e-01 7.2067e-01 3.6150e-01
8.8221e-01 2.2331e-01 8.2424e-01
4.3107e-02 1.2169e-01 1.0073e+00
3.9792e-01 2.5854e-01 3.4551e-01
nan nan nan
8.4699e-01 4.8691e-02 1.3874e+00
4.0881e-01 1.9871e-01 5.4441e-01
3.6639e-01 5.3747e-01 8.6985e-01
6.3135e-01 1.7460e-01 7.6692e-01
7.1346e-01 1.9690e-01 1.1655e+00
9.0587e-02 7.9360e-01 4.7074e-01
3.9755e-01 8.7863e-02 1.0309e+00
nan nan nan
1.9842e-01 4.8700e-01 1.0111e+00
5.9936e-01 2.5649e-01 6.6046e-01
2.0167e-01 5.4799e-01 1.6257e-01
2.4485e-01 2.7459e-01 7.6242e-01
2.0072e-01 2.1536e-01 1.2576e+00
4.5241e-01 1.9964e-01 6.7454e-01
9.1641e-01 7.1073e-02 3.4353e-01
2.2518e-01 9.9529e-02 9.3221e-01
2.8208e-01 2.9147e-01 1.2719e+00
6.5147e-01 3.0562e-01 1.0918e+00
5.5149e-01 4.4694e-01 7.9752e-01
4.0827e-01 3.4211e-01 3.4038e-01
5.1711e-01 1.0124e-01 9.5150e-01
8.7283e-01 4.0961e-01 1.3017e+00
4.0509e-01 2.6172e-01 5.7913e-01
2.5381e-01 1.2252e-01 4.8867e-01
2.9983e-02 1.0029e-01 1.2044e+00
2.8843e-01 5.4500e-01 1.2638e+00
3.1949e-01 1.2853e-01 1.3086e+00
2.3554e-01 1.0742e-01 5.1509e-01
2.6822e-01 2.8523e-01 1.3546e+00
2.0682e-01 8.8377e-01 6.3195e-01
1.2846e-01 2.3554e-01 1.3380e+00
nan nan nan
2.3780e-01 1.3908e-01 1.1388e+00
1.0397e-01 7.7696e-02 5.0637e-01
nan nan nan
4.8898e-01 3.5761e-01 9.3976e-01
3.9684e-01 5.1344e-01 1.3701e+00
3.0607e-01 7.3044e-01 1.2907e+00
6.9939e-01 3.7444e-01 1.3258e+00
8.1868e-02 3.5637e-01 1.2109e+00
nan nan nan
8.6898e-01 2.6358e-02 8.7021e-01
4.5742e-01 1.5166e-01 3.3381e-01
7.5931e-01 3.3574e-01 5.4350e-01
nan nan nan
5.5812e-01 6.5110e-01 7.9000e-01
8.9399e-01 3.0936e-01 9.4622e-01
