# d_x d_y d_z
1.2248e-01 5.0786e-01 7.8440e-01
2.3321e-01 2.2527e-01 1.1979e+00
2.9295e-01 5.4984e-01 5.2549e-01
5.4401e-01 2.6668e-01 6.2553e-01
6.7339e-02 4.6335e-01 7.9258e-01
3.2329e-01 2.0963e-01 5.4166e-01
7.0423e-01 8.2900e-02 5.6710e-01
2.8869e-01 2.6721e-01 1.1276e+00
5.2082e-01 3.5292e-04 6.2163e-01
7.0914e-02 6.7742e-01 4.6284e-01
5.0651e-01 2.9900e-01 9.9354e-01
8.3892e-01 3.1549e-01 1.0352e+00
4.3959e-02 2.9851e-01 1.1139e+00
5.9033e-01 2.4984e-01 5.1434e-01
7.8420e-02 8.5394e-01 8.8348e-01
9.0250e-01 3.2021e-01 1.4003e+00
5.0903e-01 3.1809e-01 5.3358e-01
2.9208e-01 1.3911e-01 8.3211e-01
7.2946e-01 5.9519e-02 6.4979e-01
3.8157e-01 2.2076e-02 1.2434e+00
4.5881e-01 2.2521e-01 7.1644e-01
1.2082e-01 8.2684e-01 7.5547e-01
6.5696e-01 3.8758e-01 8.9451e-01
1.4518e-01 5.8135e-01 1.1979e+00
1.3199e-01 3.5537e-02 8.2356e-01
4.3483e-01 2.4001e-01 3.4460e-01
4.4312e-01 7.9780e-01 1.4738e+00
3.9686e-01 4.5183e-01 4.3188e-01
4.6479e-01 6.3845e-01 6.4001e-01
2.5253e-01 4.7900e-01 8.6652e-01
2.0966e-01 8.4528e-01 8.1197e-01
1.4784e-01 5.5797e-01 9.5955e-01
2.4397e-01 5.1479e-01 1.3305e+00
4.1073e-01 3.1363e-01 1.1011e+00
6.8675e-01 2.1473e-01 5.2025e-01
2.4931e-01 4.9131e-01 7.9768e-01
1.2610e-01 7.8895e-01 3.6204e-01
2.1183e-01 7.4607e-01 8.3166e-01
5.7424e-02 9.0815e-02 1.5306e-01
7.0008e-02 5.0610e-01 1.1747e+00
7.8153e-01 4.6677e-01 8.9940e-01
1.5084e-02 6.9351e-01 5.8821e-01
6.0810e-01 3.6731e-01 9.8421e-01
1.0705e-01 2.7823e-01 4.4660e-01
4.2352e-01 3.9906e-01 4.9091e-01
1.4886e-01 4.4937e-01 7.9101e-01
5.2419e-01 4.1836e-01 6.2956e-01
6.6938e-02 1.1058e-01 6.6828e-01
4.7413e-01 8.8798e-02 7.1432e-01
1.0791e-02 6.3638e-01 6.1908e-01
1.6651e-01 4.9723e-01 1.1674e+00
4.4364e-01 5.3452e-01 8.6940e-01
4.2059e-01 6.1075e-01 5.3847e-01
8.8747e-02 4.8351e-01 8.4063e-01
3.5560e-01 4.9799e-01 7.9791e-01
3.4385e-01 1.0189e-01 6.5486e-01
2.6737e-01 2.8551e-01 1.1082e+00
6.8541e-01 2.6712e-01 9.0817e-01
7.1145e-01 4.9893e-01 7.5495e-01
5.0618e-01 4.3870e-01 2.9752e-01
1.2411e-01 8.2315e-01 5.9895e-01
9.6630e-02 3.4128e-01 1.0537e+00
1.2062e-01 8.8628e-02 1.0270e+00
2.9731e-02 3.2644e-01 9.9318e-01
2.5492e-01 2.0900e-01 5.9724e-01
5.1124e-01 2.0153e-01 5.4236e-01
1.4377e-01 1.1357e-01 3.3762e-01
4.2500e-01 6.5351e-03 1.0141e+00
3.1176e-01 7.3805e-01 8.6177e-01
5.2056e-01 5.1869e-01 5.0523e-01
5.3314e-01 2.0333e-01 1.0885e+00
7.6639e-01 1.4872e-01 8.1358e-01
nan nan nan
2.4248e-01 2.5125e-01 5.7674e-01
3.2219e-01 1.8715e-01 7.2061e-01
4.8406e-01 8.4204e-02 6.7230e-01
9.3880e-03 4.5169e-01 6.1879e-01
1.6961e-01 4.2345e-01 1.0713e+00
3.2264e-01 2.9582e-01 7.8684e-01
6.5213e-02 1.6732e-01 1.0828e+00
4.7565e-01 3.2142e-01 9.4569e-01
2.1142e-01 3.9720e-01 1.1395e+00
2.2358e-01 1.1568e-01 7.6997e-01
3.1415e-01 4.0202e-01 1.1185e+00
2.7032e-01 2.4591e-01 6.1586e-01
5.6124e-01 2.2300e-01 8.9934e-01
2.1894e-01 6.3405e-01 1.2162e+00
1.3784e-01 6.6490e-02 6.0470e-01
5.7403e-01 1.0709e-01 7.0409e-01
2.5682e-01 5.8404e-02 1.0160e+00
4.7532e-01 1.7010e-01 1.0757e+00
6.5873e-01 2.1541e-01 2.8607e-01
8.6025e-02 4.4972e-01 7.1615e-01
1.3041e-01 1.3963e-01 9.2356e-01
4.2162e-01 2.1199e-01 7.1261e-01
nan nan nan
2.2467e-01 9.8114e-02 1.0856e+00
5.7035e-01 3.7984e-01 9.3825e-01
3.3276e-01 2.2924e-02 1.1057e+00
3.5762e-01 4.9957e-01 8.8354e-01
4.5268e-01 3.5285e-01 4.6741e-01
1.2724e-01 4.9714e-01 8.4971e-01
2.3891e-01 2.1350e-01 1.0822e+00
3.9436e-01 9.0129e-02 9.7671e-01
6.8888e-01 4.6976e-01 1.0136e+00
2.1131e-01 6.0048e-02 4.2364e-01
4.7799e-01 3.6015e-02 6.7187e-01
4.3036e-01 7.1676e-01 5.2831e-01
1.0985e-01 1.7144e-01 4.6876e-01
7.0081e-02 6.7695e-02 8.0169e-01
3.8514e-02 4.0985e-03 1.2941e+00
1.1231e-01 7.5211e-01 8.7350e-01
1.4161e-01 4.4784e-01 7.2906e-01
1.6408e-01 7.3873e-02 1.2738e+00
3.9317e-01 4.8348e-01 5.9977e-01
7.2004e-01 3.2988e-02 7.9868e-01
8.4840e-02 4.1749e-01 5.7019e-01
1.9761e-01 3.1012e-01 1.6452e+00
1.7231e-01 5.1060e-01 7.5455e-01
6.5880e-01 1.2285e-01 3.5901e-01
1.4409e-01 3.6639e-01 5.6308e-01
2.9437e-01 1.9874e-01 1.2337e+00
2.8352e-01 5.3198e-01 1.0113e+00
5.4990e-01 3.0174e-01 4.6462e-01
2.0638e-01 5.2753e-01 6.1664e-01
8.7055e-01 1.2547e-01 7.9610e-01
6.8004e-01 1.5049e-01 5.0799e-01
8.9052e-01 2.3128e-01 1.1289e+00
6.9688e-01 1.2617e-01 6.4167e-01
3.3280e-02 4.7478e-01 8.2559e-01
4.2203e-01 4.1191e-02 3.9005e-01
6.2088e-01 1.2769e-02 1.0848e+00
1.0721e-02 2.9274e-01 1.0212e+00
7.1411e-01 1.7088e-01 8.3850e-01
2.5271e-01 7.0060e-01 3.8845e-01
7.9032e-01 1.6185e-01 6.2467e-01
6.0842e-01 1.6135e-01 8.5099e-01
